,Player ID,Player,Total Runs Scored,Batting Avg,Batting Strike Rate,Total Centuries,Total Half Centuries,4s,6s,Total Wickets Taken,Best Bowling Figures,Bowling Avg,Best Economy Rate,Bowling Strike Rate,Total Matches Played,Total Dismissals Made,Total Catches Taken,Total Stumpings Made,Batting Hand,Bowling Arm,Bowling Style
0,0,V Kohli,13848,58.67,93.58,50,72,1294,151,5,1/13,136.00,6.16,132.4,292.0,151.0,151.0,0.0,Right Hand,Right Arm,Pace Bowler
1,1,RG Sharma,10709,49.12,91.97,31,55,994,323,9,2/27,58.00,5.23,66.4,262.0,93.0,93.0,0.0,Right Hand,Right Arm,Spin Bowler
2,2,MS Dhoni,10599,50.23,87.13,9,73,809,222,1,1/14,31.00,5.16,36.0,347.0,438.0,318.0,120.0,Right Hand,Right Arm,Pace Bowler
3,3,SR Tendulkar,9855,46.7,85.75,25,52,1162,84,76,5/50,41.09,5.32,46.2,234.0,65.0,65.0,0.0,Right Hand,Right Arm,Spin Bowler
4,4,Yuvraj Singh,8609,36.47,87.43,14,52,896,153,110,5/31,38.42,5.08,45.3,301.0,93.0,93.0,0.0,Left Hand,Left Arm,Spin Bowler
5,5,V Sehwag,7994,35.52,104.45,15,37,1092,131,94,4/6,39.38,5.19,45.4,240.0,90.0,90.0,0.0,Right Hand,Right Arm,Spin Bowler
6,6,R Dravid,7298,39.87,72.32,5,62,653,27,3,2/43,22.66,5.66,24.0,232.0,151.0,138.0,13.0,Right Hand,Right Arm,Spin Bowler
7,7,S Dhawan,6793,44.11,91.35,17,39,842,79,-,-,-,-,-,167.0,83.0,83.0,0.0,Left Hand,Right Arm,Spin Bowler
8,8,SC Ganguly,6516,39.97,75.37,13,42,631,136,56,5/34,39.66,5.13,46.3,182.0,64.0,64.0,0.0,Left Hand,Right Arm,Pace Bowler
9,9,SK Raina,5615,35.31,93.5,5,36,476,120,36,3/34,50.3,5.11,59.0,226.0,102.0,102.0,0.0,Left Hand,Right Arm,Spin Bowler
10,10,G Gambhir,5238,39.68,85.25,11,34,561,17,0,-,-,13.00,-,147.0,36.0,36.0,0.0,Left Hand,Right Arm,Spin Bowler
11,11,AM Rahane,2962,35.26,78.63,3,24,293,33,-,-,-,-,-,90.0,48.0,48.0,0.0,Right Hand,Right Arm,Pace Bowler
12,12,KL Rahul,2820,50.35,87.82,7,18,224,61,-,-,-,-,-,75.0,67.0,62.0,5.0,Right Hand,Unknown Arm,Mixed
13,13,RA Jadeja,2756,32.42,85.06,0,13,199,54,220,5/33,36.07,4.88,44.3,197.0,74.0,74.0,0.0,Left Hand,Left Arm,Spin Bowler
14,14,M Kaif,2753,32.01,72.03,2,17,228,9,-,-,-,-,-,125.0,55.0,55.0,0.0,Right Hand,Right Arm,Spin Bowler
15,15,SS Iyer,2383,49.64,101.27,5,18,219,62,0,-,-,6.32,-,59.0,24.0,24.0,0.0,Right Hand,Right Arm,Spin Bowler
16,16,VVS Laxman,2276,32.05,72.5,6,10,219,4,0,-,-,8.00,-,79.0,35.0,35.0,0.0,Right Hand,Right Arm,Spin Bowler
17,17,Shubman Gill,2271,61.37,103.46,6,13,254,52,0,-,-,5.50,-,44.0,30.0,30.0,0.0,Right Hand,Right Arm,Spin Bowler
18,18,HH Pandya,1769,34.01,110.35,0,11,132,67,84,4/24,35.23,5.55,38.0,86.0,32.0,32.0,0.0,Right Hand,Right Arm,Pace Bowler
19,19,KD Karthik,1752,30.2,73.24,0,9,176,15,-,-,-,-,-,94.0,71.0,64.0,7.0,Right Hand,Right Arm,Spin Bowler
20,20,AT Rayudu,1694,47.05,79.04,3,10,145,30,3,1/5,41.33,6.14,40.3,55.0,17.0,17.0,0.0,Right Hand,Right Arm,Spin Bowler
21,21,IK Pathan,1544,23.39,79.54,0,5,142,37,173,5/27,29.72,5.26,33.8,120.0,21.0,21.0,0.0,Left Hand,Left Arm,Pace Bowler
